WORDCOUNT RESULTS:  assets/thetorylover.txt
reckoned  =>  1
Beside  =>  1
travelin  =>  1
flagship  =>  1
pig  =>  1
allowed  =>  2
niggard  =>  1
joked  =>  1
plainly  =>  7
faltering  =>  1
trace  =>  3
directions  =>  2
foreboding  =>  2
uprooted  =>  1
quietness  =>  1
production  =>  1
II  =>  2
prove  =>  7
Farewell  =>  2
street  =>  21
might  =>  166
entreated  =>  3
skies  =>  1
Until  =>  1
quietest  =>  1
flickering  =>  1
dark  =>  60
strains  =>  1
flattery  =>  1
Brandy  =>  1
7  =>  3
kitchen  =>  21
counteract  =>  1
regarded  =>  1
epicure  =>  1
boats  =>  18
contrast  =>  2
yeomen  =>  1
native  =>  1
man  =>  410
sense  =>  28
four  =>  16
stones  =>  3
failing  =>  3
whimpering  =>  1
Gutenberg  =>  85
Between  =>  2
leads  =>  1
account  =>  6
TO  =>  7
VII  =>  2
seven  =>  5
stroke  =>  4
slender  =>  6
gusty  =>  1
Author  =>  1
towering  =>  1
tons  =>  2
acceptance  =>  1
counsel  =>  2
topic  =>  1
discretion  =>  4
rash  =>  2
humble  =>  8
cruise  =>  2
brink  =>  1
sweet  =>  15
worst  =>  26
prompted  =>  1
tall  =>  17
gently  =>  15
bless  =>  14
smooth  =>  4
crops  =>  1
destroyers  =>  1
respectable  =>  1
stumps  =>  1
practical  =>  1
Britain  =>  5
Boston  =>  18
sleeves  =>  1
Little  =>  1
tire  =>  1
immediately  =>  1
statecraft  =>  1
merchant  =>  18
PEOPLE  =>  1
comply  =>  6
perched  =>  1
han  =>  1
swallowed  =>  2
climbed  =>  7
noise  =>  15
NOW  =>  1
glittered  =>  3
fired  =>  4
heated  =>  1
charity  =>  1
month  =>  10
AT  =>  2
flaring  =>  1
night  =>  181
stately  =>  10
watch  =>  24
counting  =>  5
fanciful  =>  1
seamstresses  =>  1
dated  =>  1
much  =>  137
slipped  =>  6
backed  =>  2
principle  =>  1
snuffbox  =>  1
Prince  =>  3
marry  =>  2
classical  =>  1
learn  =>  12
possessions  =>  1
ale  =>  3
dip  =>  1
whatever  =>  11
pots  =>  1
medium  =>  5
computer  =>  2
whole  =>  43
excuse  =>  11
curse  =>  4
dallying  =>  3
downstream  =>  1
primly  =>  1
explained  =>  16
roan  =>  1
unprotected  =>  1
sternly  =>  2
Tis  =>  7
resist  =>  2
trembled  =>  3
proposal  =>  2
Cap  =>  1
Dock  =>  1
LIABLE  =>  1
To  =>  31
verses  =>  1
inch  =>  1
ranks  =>  1
Company  =>  1
helpers  =>  2
alarmed  =>  1
faithful  =>  3
hearted  =>  14
staring  =>  3
approachable  =>  1
counts  =>  1
fly  =>  3
Plymouth  =>  24
murdered  =>  1
within  =>  50
shrewd  =>  4
Royalists  =>  3
swoon  =>  1
unblest  =>  1
wanting  =>  3
amiability  =>  1
liking  =>  3
shingle  =>  1
lasts  =>  1
reminiscences  =>  1
gable  =>  1
Pity  =>  2
gait  =>  2
Wallingfords  =>  4
assent  =>  2
force  =>  11
leaping  =>  2
goe  =>  2
bullet  =>  2
expedition  =>  2
astonishment  =>  6
fescue  =>  1
shoreward  =>  1
mocked  =>  1
Boadicea  =>  1
announced  =>  9
acted  =>  2
homesick  =>  1
custody  =>  1
courtyard  =>  1
tools  =>  2
violent  =>  2
reconnoitred  =>  1
PURPOSE  =>  1
praised  =>  3
large  =>  38
difference  =>  4
produced  =>  2
useful  =>  5
keenest  =>  2
estranged  =>  1
States  =>  17
gale  =>  4
valleys  =>  1
801  =>  1
other  =>  142
ignored  =>  1
bread  =>  3
dessert  =>  1
thee  =>  2
soldier  =>  15
ourselves  =>  9
flaunted  =>  1
WILL  =>  1
fun  =>  1
affably  =>  1
constraint  =>  1
military  =>  2
boys  =>  16
scarlet  =>  3
planks  =>  3
grants  =>  1
jumps  =>  1
emergency  =>  1
blue  =>  10
quietly  =>  10
Had  =>  3
Ch  =>  1
straighten  =>  1
affront  =>  1
misery  =>  7
quarreled  =>  2
person  =>  19
reassure  =>  3
shirt  =>  1
hesitations  =>  1
truly  =>  2
enjoy  =>  1
pride  =>  14
bitten  =>  1
BOSTON  =>  2
woolen  =>  1
inscription  =>  1
But  =>  67
creature  =>  20
drain  =>  1
lamented  =>  2
formality  =>  1
wept  =>  5
rejoin  =>  1
boat  =>  91
Exeter  =>  2
thirteen  =>  1
dungeon  =>  2
Ichabod  =>  3
aunt  =>  2
impatient  =>  28
defense  =>  3
halyards  =>  1
women  =>  30
frailty  =>  1
INCLUDING  =>  1
flat  =>  3
pasture  =>  9
boiling  =>  1
Gentlemen  =>  1
soundings  =>  1
Fold  =>  1
capped  =>  1
strongly  =>  2
descended  =>  2
Cats  =>  1
Wide  =>  1
thieving  =>  1
identification  =>  1
strong  =>  24
regretfully  =>  3
tavern  =>  4
lose  =>  3
giving  =>  7
northwestern  =>  1
defend  =>  3
hammocks  =>  2
wharves  =>  9
Spaniard  =>  1
Englishman  =>  4
low  =>  40
rapping  =>  1
overpowered  =>  1
disappearing  =>  1
PG  =>  1
shipyard  =>  5
bitter  =>  9
messmate  =>  1
hushed  =>  5
concession  =>  1
preserve  =>  1
stood  =>  156
XV  =>  2
arch  =>  1
imperial  =>  1
hater  =>  1
ebooks  =>  1
www  =>  11
effect  =>  2
unshaken  =>  1
trailed  =>  4
Nor  =>  3
Evil  =>  1
throat  =>  7
Sabine  =>  2
thrusting  =>  1
DEEPHAVEN  =>  1
sweeping  =>  2
boy  =>  39
hung  =>  7
Norman  =>  2
tumbler  =>  2
hoe  =>  1
mainsail  =>  1
reviewing  =>  2
pitch  =>  4
sides  =>  10
Saturday  =>  1
turn  =>  22
heathen  =>  1
sigh  =>  12
failed  =>  9
Blast  =>  1
F  =>  14
None  =>  3
living  =>  20
rightful  =>  4
gratin  =>  1
sample  =>  2
year  =>  24
making  =>  18
flickered  =>  2
intelligence  =>  1
XLIII  =>  2
bidding  =>  5
flicker  =>  2
oppressed  =>  2
CONSEQUENTIAL  =>  1
brother  =>  37
charge  =>  18
Nantes  =>  12
Comfort  =>  1
warehouse  =>  3
wisely  =>  1
owed  =>  2
Dorcas  =>  1
likeness  =>  2
preach  =>  1
daily  =>  2
CONTRACT  =>  1
bold  =>  16
Outside  =>  4
languages  =>  1
envious  =>  1
approaching  =>  1
Last  =>  1
trudged  =>  1
infant  =>  1
hundred  =>  11
game  =>  8
Rice  =>  2
sob  =>  2
fuller  =>  1
mihi  =>  1
cloak  =>  15
straw  =>  2
whispers  =>  3
warmest  =>  1
chapter  =>  2
Roundhead  =>  1
dripping  =>  2
shuttle  =>  4
bestow  =>  1
B  =>  2
ANY  =>  3
clung  =>  3
attempts  =>  2
Canada  =>  5
overtook  =>  2
alas  =>  1
pleasantries  =>  2
Whitehaven  =>  27
assured  =>  5
prime  =>  3
Coll  =>  1
holland  =>  1
strips  =>  1
forbiddingly  =>  2
Bedfords  =>  1
them  =>  288
THOSE  =>  1
subdued  =>  2
Act  =>  1
victorious  =>  1
met  =>  15
sang  =>  3
intellectual  =>  2
depends  =>  1
orchards  =>  1
delights  =>  1
Even  =>  7
announce  =>  1
renounce  =>  1
Send  =>  3
bid  =>  9
saw  =>  88
armament  =>  1
Defect  =>  1
spots  =>  2
bitterly  =>  8
eloquence  =>  2
jest  =>  1
cutlass  =>  1
subtle  =>  1
Garden  =>  1
elsewhere  =>  2
Lover  =>  1
hundreds  =>  2
weep  =>  2
gratitude  =>  5
silly  =>  2
impassive  =>  1
shoe  =>  3
churches  =>  1
verger  =>  3
disclaim  =>  1
Sherburnes  =>  1
Jansenist  =>  1
CO  =>  1
spoiled  =>  1
shallow  =>  2
hindering  =>  3
rocky  =>  3
mistakes  =>  1
tamper  =>  1
going  =>  46
mist  =>  3
Madeira  =>  4
odd  =>  1
trumpet  =>  1
troopers  =>  1
gundalows  =>  2
winking  =>  1
Can  =>  6
teased  =>  1
stared  =>  3
irresistible  =>  3
believed  =>  13
yis  =>  1
disaffection  =>  2
strain  =>  9
vexed  =>  13
succeeded  =>  2
refreshments  =>  1
delinquent  =>  1
English  =>  44
housetop  =>  1
fluted  =>  1
conditions  =>  8
boldness  =>  2
veins  =>  1
horses  =>  22
laps  =>  1
dealings  =>  1
trimmed  =>  1
injured  =>  3
indignant  =>  2
prejudices  =>  2
horrible  =>  1
so  =>  304
WHOSE  =>  1
Tempest  =>  2
waving  =>  4
assented  =>  2
relationship  =>  1
yesterday  =>  11
knew  =>  73
woods  =>  8
winning  =>  2
ANOTHER  =>  1
ballast  =>  1
maintain  =>  1
fatherly  =>  1
West  =>  5
synonymous  =>  1
Creating  =>  1
doos  =>  1
SUCH  =>  1
Garrison  =>  1
guidance  =>  1
gallant  =>  11
falling  =>  6
frolic  =>  1
proper  =>  26
height  =>  9
oppressors  =>  2
Poor  =>  16
bag  =>  7
morocco  =>  1
beheld  =>  5
remainder  =>  1
hospitalities  =>  4
dream  =>  13
petit  =>  2
shaming  =>  1
5  =>  4
Revenue  =>  1
almost  =>  27
miners  =>  1
unbar  =>  1
endearing  =>  1
bridge  =>  1
merchantmen  =>  6
stepmother  =>  2
confront  =>  4
using  =>  6
fishwives  =>  1
tail  =>  1
Taunton  =>  1
veiling  =>  1
6  =>  2
owners  =>  1
Miss  =>  82
mort  =>  2
mainly  =>  1
sifting  =>  1
shadows  =>  11
River  =>  3
amusing  =>  2
oath  =>  20
sincerer  =>  1
done  =>  69
value  =>  4
mayor  =>  4
sleepless  =>  1
atween  =>  1
uncontradicted  =>  1
service  =>  17
outbuildings  =>  1
heavens  =>  3
supply  =>  1
deed  =>  1
disguise  =>  4
timid  =>  2
beautiful  =>  23
Rockingham  =>  2
AIR  =>  1
stir  =>  3
asks  =>  3
amiable  =>  3
manifestation  =>  1
elderly  =>  6
LANDING  =>  1
ghost  =>  6
promises  =>  3
season  =>  4
retarded  =>  1
wretched  =>  6
Barvick  =>  8
Sing  =>  1
uncomfortable  =>  2
petals  =>  1
Kindness  =>  1
duties  =>  7
shake  =>  6
commented  =>  1
knows  =>  22
showery  =>  3
overrate  =>  1
misjudged  =>  2
unsettled  =>  3
produce  =>  2
scene  =>  4
clinking  =>  1
fine  =>  46
granddaughter  =>  1
barracks  =>  1
Dorset  =>  1
processions  =>  1
hoped  =>  6
Point  =>  5
possession  =>  5
unselfishness  =>  2
grandmothers  =>  1
unbleached  =>  1
detestable  =>  1
OTHER  =>  5
Manly  =>  1
heretical  =>  1
rouse  =>  3
measured  =>  1
arn  =>  3
BEST  =>  1
determination  =>  5
gay  =>  26
expectancy  =>  1
crash  =>  1
files  =>  1
meantime  =>  1
otherwise  =>  6
Then  =>  59
virtue  =>  1
gallantry  =>  4
needlessly  =>  1
princely  =>  1
bedding  =>  1
hair  =>  4
taunt  =>  2
destructive  =>  1
mistaken  =>  6
BRISTOL  =>  1
They  =>  190
benefaction  =>  1
distrust  =>  3
graves  =>  1
regret  =>  6
day  =>  170
dread  =>  5
upstropelous  =>  2
darken  =>  1
moles  =>  1
savage  =>  6
author  =>  1
Barebones  =>  1
objects  =>  1
numerous  =>  1
clowns  =>  1
theology  =>  1
shalt  =>  1
Badger  =>  2
ceremony  =>  1
gave  =>  75
startling  =>  2
nipped  =>  1
convenient  =>  3
mob  =>  14
greatest  =>  6
Major  =>  20
ministers  =>  3
luck  =>  3
sleepiness  =>  1
ARTIST  =>  1
ceremoniously  =>  1
scornfully  =>  5
grasp  =>  2
forty  =>  1
XXV  =>  2
er  =>  2
sliding  =>  1
paved  =>  1
underworld  =>  1
faith  =>  6
words  =>  31
ades  =>  1
purchase  =>  2
piecemeal  =>  1
ecclesiastical  =>  1
cottage  =>  4
crop  =>  2
Quixote  =>  2
comradeship  =>  2
compassionately  =>  2
murder  =>  1
Lackyng  =>  1
bragged  =>  2
intensity  =>  1
REFUND  =>  1
taken  =>  45
sakes  =>  1
wildest  =>  1
Witchtrot  =>  1
slated  =>  1
version  =>  1
dampness  =>  3
discomfort  =>  6
senior  =>  3
wines  =>  1
altars  =>  1
Mayor  =>  1
incident  =>  1
doctrines  =>  2
Have  =>  5
Monsieur  =>  4
proofread  =>  1
christening  =>  2
Whose  =>  1
Shakespeare  =>  1
letting  =>  2
Country  =>  1
ILLUSTRATIONS  =>  1
sombre  =>  2
gagged  =>  1
anchors  =>  1
interrupting  =>  1
politely  =>  8
aversions  =>  1
Renaissance  =>  1
capering  =>  1
dramatic  =>  1
grumble  =>  1
An  =>  9
stirred  =>  6
lest  =>  9
Still  =>  2
conducted  =>  1
score  =>  3
benefactor  =>  1
itself  =>  29
incredible  =>  1
determinedly  =>  1
coppersmiths  =>  1
Darwentwater  =>  3
probably  =>  1
ensuring  =>  1
offenses  =>  1
speaker  =>  7
separated  =>  1
marker  =>  1
Lieutenant  =>  19
examination  =>  1
solemnly  =>  1
Captive  =>  1
Stuart  =>  1
heartened  =>  1
damaged  =>  1
frozen  =>  3
lordship  =>  1
tower  =>  3
America  =>  16
shipyards  =>  2
businesslike  =>  2
Eastern  =>  1
chain  =>  1
Believe  =>  1
lads  =>  16
unfamiliar  =>  2
depended  =>  2
cabin  =>  23
performing  =>  3
1777  =>  1
farmer  =>  6
darlin  =>  3
straws  =>  1
HEARTS  =>  1
widest  =>  2
thought  =>  93
unfortunate  =>  4
innocent  =>  9
agreeing  =>  1
thwart  =>  1
D  =>  1
flagstones  =>  2
tame  =>  3
priest  =>  1
outstretched  =>  1
solicitude  =>  7
scorn  =>  4
discontinue  =>  1
smite  =>  1
handwriting  =>  2
mingled  =>  4
murmured  =>  1
muster  =>  1
akin  =>  1
SAILING  =>  1
meal  =>  2
inferiors  =>  2
Eppin  =>  1
neighbors  =>  9
Listen  =>  4
Most  =>  2
Indians  =>  5
woven  =>  1
tray  =>  3
XXXV  =>  2
whispered  =>  12
slackened  =>  1
feel  =>  23
remarked  =>  1
quavering  =>  1
Billy  =>  2
comedy  =>  1
boldly  =>  13
webs  =>  1
dressing  =>  1
Wales  =>  2
wrought  =>  1
Ay  =>  1
dingy  =>  1
stated  =>  1
spells  =>  1
pebbles  =>  3
headin  =>  2
building  =>  5
piercing  =>  2
clenched  =>  1
et  =>  2
apprehensive  =>  2
hot  =>  15
PRISON  =>  1
collar  =>  1
guests  =>  20
onset  =>  2
Good  =>  10
extreme  =>  1
bravado  =>  2
XIII  =>  2
XXVII  =>  2
kind  =>  47
Flowering  =>  1
AGAINST  =>  1
Troy  =>  1
protecting  =>  1
planted  =>  4
scoundrel  =>  3
homely  =>  3
mutual  =>  1
scolded  =>  3
laying  =>  1
resistant  =>  1
shrewdness  =>  1
confidence  =>  16
dead  =>  34
posted  =>  7
ORNE  =>  2
nation  =>  5
passage  =>  6
flung  =>  11
alone  =>  52
reefed  =>  1
blind  =>  5
frighted  =>  2
DECKS  =>  1
dangers  =>  1
bonnet  =>  2
character  =>  16
feed  =>  2
instances  =>  1
quarrelsome  =>  1
remove  =>  1
Executive  =>  1
regulating  =>  1
outbursts  =>  1
lofty  =>  6
jungle  =>  1
sorest  =>  1
slip  =>  5
noisy  =>  8
wishfully  =>  1
peasants  =>  1
oaths  =>  2
farmhouses  =>  3
hearts  =>  24
sharer  =>  1
trade  =>  10
escutcheons  =>  1
this  =>  449
Spanish  =>  7
covert  =>  1
He  =>  311
accepted  =>  4
shared  =>  4
guardhouse  =>  2
Denny  =>  1
visible  =>  1
assaulting  =>  1
blossoms  =>  2
House  =>  4
Sacrament  =>  1
unaware  =>  1
Wolf  =>  4
colleges  =>  1
befriended  =>  1
essays  =>  1
leg  =>  4
coachman  =>  3
Dublin  =>  2
resigned  =>  1
inner  =>  4
why  =>  29
doth  =>  2
outline  =>  2
broadsides  =>  1
heaped  =>  1
tasseled  =>  3
Looks  =>  3
handsomely  =>  7
binding  =>  1
sailcloth  =>  1
wescut  =>  1
gaited  =>  1
names  =>  5
fiddles  =>  2
burning  =>  12
yell  =>  1
miles  =>  7
enviously  =>  1
STRANGER  =>  1
crawl  =>  1
pity  =>  35
abloom  =>  2
objection  =>  1
la  =>  2
contemptible  =>  2
flint  =>  1
girls  =>  14
Everybody  =>  2
rejoiced  =>  1
toiled  =>  3
tre  =>  1
Silence  =>  1
correction  =>  1
piece  =>  13
peal  =>  1
harbor  =>  21
Mrs  =>  6
bits  =>  1
sincerity  =>  1
exacting  =>  1
leader  =>  7
